,osm_id,name,highway,railway,amenity,operator,parking,surface,tunnel,bridge,smoothness,width,capacity,layer,public_tra,aeroway,building,barrier,oneway,geometry,names,clean_name,clean_name2,genero,_merge
19303,124018427.0,Calle Santa Maria de los Angeles,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.09156729999999 -11.949193, -77.0908589 -11.9485842, -77.09077000000001 -11.9485079)",Calle Santa Maria de los Angeles,"['calle', 'santa', 'maria', 'de', 'los', 'angeles']","['santa', 'maria', 'angeles']",f,both
19313,124018437.0,Jirón Virgen de Lourdes,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.09190099999999 -11.9488845, -77.0910961 -11.9481485)",Jirón Virgen de Lourdes,"['jiron', 'virgen', 'de', 'lourdes']","['virgen', 'lourdes']",f,both
19315,124018439.0,Calle Santa Maria de los Angeles,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0930587 -11.9504978, -77.09268400000001 -11.9501734, -77.091919 -11.9495049)",Calle Santa Maria de los Angeles,"['calle', 'santa', 'maria', 'de', 'los', 'angeles']","['santa', 'maria', 'angeles']",f,both
19334,124018458.0,Virgen de Lourdes,residential,,,,,asphalt,,,,,,,,,,,no,"LINESTRING (-77.0922399 -11.9491333, -77.09238569999999 -11.9491954, -77.0925304 -11.9492426, -77.0926779 -11.9492819, -77.09280390000001 -11.9493029, -77.0932869 -11.9492986)",Virgen de Lourdes,"['virgen', 'de', 'lourdes']","['virgen', 'lourdes']",f,both
19336,124018460.0,Santa Dora,residential,,,,,paved,,,,,,,,,,,,"LINESTRING (-77.09147249999999 -11.9511678, -77.0917846 -11.9507374, -77.0920855 -11.9503149)",Santa Dora,"['santa', 'dora']","['santa', 'dora']",f,both
19342,124018466.0,Virgen de las Mercedes,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0931338 -11.9511556, -77.09274600000001 -11.9508686, -77.0926092 -11.9507671, -77.0920855 -11.9503149, -77.0915777 -11.9498444, -77.09128490000001 -11.9495877, -77.0907847 -11.949159, -77.0904405 -11.9488679)",Virgen de las Mercedes,"['virgen', 'de', 'las', 'mercedes']","['virgen', 'mercedes']",f,both
19343,124018468.0,Santa Sofia,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0932315 -11.9488353, -77.0932869 -11.9492986, -77.0933634 -11.9499383, -77.0933473 -11.9500564, -77.0933017 -11.9501718, -77.0930587 -11.9504978, -77.09274600000001 -11.9508686)",Santa Sofia,"['santa', 'sofia']","['santa', 'sofia']",f,both
19356,124146808.0,La Caridad,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0737786 -11.9328443, -77.0740349 -11.9324426, -77.07417770000001 -11.9322314, -77.0743138 -11.9320852, -77.07443670000001 -11.931965, -77.0744577 -11.9319501, -77.0745009 -11.9319194, -77.07461929999999 -11.9318351, -77.0747853 -11.9317474, -77.07499439999999 -11.9316759, -77.0751514 -11.9316453, -77.0752373 -11.9316374, -77.0752908 -11.9316325, -77.07553590000001 -11.9316373, -77.0757761 -11.9316572)",La Caridad,"['la', 'caridad']",['caridad'],f,both
19372,124146824.0,Calle Flora Tristan,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0746587 -11.9201598, -77.07420329999999 -11.9201242, -77.073779 -11.9200917)",Calle Flora Tristan,"['calle', 'flora', 'tristan']","['flora', 'tristan']",f,both
19395,124146864.0,Calle María Bustamente de la Nieves,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0736232 -11.9217058, -77.07405 -11.9217386, -77.0745089 -11.9217802, -77.0750772 -11.9218218)",Calle María Bustamente de la Nieves,"['calle', 'maria', 'bustamente', 'de', 'la', 'nieves']","['maria', 'bustamente', 'nieves']",f,both
19403,124146881.0,La Caridad,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0794552 -11.9330175, -77.07910270000001 -11.9327579, -77.0787076 -11.9325208, -77.0783922 -11.9323648, -77.0779569 -11.9321527)",La Caridad,"['la', 'caridad']",['caridad'],f,both
